version,Name,God_Class,Lazy_Class,Complex_Class,Large_Class,Refused_Request,Data_Class,Feature_Envy,Brain_Class,Hub_Like_Dependency,Class_Cyclic_Dependency,Unhealthy_Inheritance_Hierarchy,Long_Method,Long_Parameter_List,Shotgun_Surgery,Brain_Method,Unstable_Dependency,Package_Cyclic_Dependency,Total,Distinct_Count,Vulnerability
6.0.0,android.widget.TextView,1,0,1,1,0,0,1,0,0,0,1,213,305,22,2,0,0,547,9,
6.0.0,android.util.GridScenario,0,0,0,1,0,1,1,0,1,0,0,3,6,1,0,0,1,15,8,
6.0.0,android.util.GridScenario.Params,0,0,0,0,0,1,1,0,0,0,0,0,8,4,0,0,1,15,5,
6.0.0,android.widget.AbsListView,1,0,1,1,0,0,1,0,1,0,1,142,160,8,1,0,0,317,10,
6.0.0,com.android.server.NativeDaemonConnectorException,0,0,0,0,0,1,0,0,0,0,0,0,4,2,0,0,0,7,3,
6.0.0,com.android.server.NativeDaemonEvent,0,0,1,0,0,1,1,0,0,0,0,5,10,1,0,0,0,19,6,
6.0.0,android.text.Spannable.Factory,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,5,3,
6.0.0,android.text.SpannableString,0,0,0,0,0,1,0,0,0,0,0,1,4,1,0,3,0,10,5,
6.0.0,androidx.media.filterfw.FrameValue,0,0,0,0,0,0,0,0,0,0,0,0,4,2,0,0,0,6,2,
6.0.0,androidx.media.filterfw.BackingStore.Backing,0,0,0,0,0,1,1,0,0,0,0,1,7,0,0,0,0,10,4,
6.0.0,androidx.media.filterfw.BackingStore,0,0,1,1,0,0,1,0,1,0,1,14,18,0,0,0,0,37,7,
6.0.0,androidx.media.filterfw.Frame,0,0,0,0,0,1,0,0,0,0,1,2,19,4,0,0,0,27,5,
6.0.0,androidx.media.filterfw.FrameType,0,0,1,1,0,0,1,0,0,0,0,13,27,3,0,0,0,46,6,
6.0.0,com.android.transitiontests.FadingTest,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,4,2,
6.0.0,android.transition.Scene,0,0,0,0,0,1,1,0,0,0,0,3,10,1,0,0,0,16,5,
6.0.0,android.widget.Button,0,0,0,0,0,1,0,0,0,0,0,0,4,1,0,0,0,6,3,
6.0.0,android.transition.Fade,0,0,0,0,0,1,0,0,1,0,0,3,5,0,0,0,0,10,4,
6.0.0,android.transition.TransitionManager,0,0,0,1,0,1,1,0,0,0,0,8,12,2,0,0,0,25,6,
6.0.0,android.filterfw.core.MutableFrameFormat,0,0,0,0,0,1,0,0,0,0,0,4,10,1,0,0,1,17,5,
6.0.0,android.filterfw.core.FrameFormat,0,0,1,1,0,0,1,0,0,0,1,13,28,5,0,0,1,51,8,
6.0.0,android.filterfw.core.KeyValueMap,0,0,0,0,0,1,0,0,0,0,0,2,1,0,0,0,1,5,4,
6.0.0,android.view.animation.TranslateAnimation,0,0,0,0,0,1,0,0,1,0,0,5,5,0,0,0,0,12,4,
6.0.0,android.view.animation.Animation.Description,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,2,2,
6.0.0,android.view.animation.Transformation,0,0,0,0,0,1,0,0,0,0,0,6,15,2,0,0,0,24,4,
6.0.0,com.android.server.LocationManagerService,1,0,1,1,0,0,1,0,0,1,0,66,74,0,0,0,0,145,7,1
6.0.0,com.android.server.LocationManagerService.LocationWorkerHandler,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,3,3,
6.0.0,com.android.server.LocationManagerService.Receiver,0,0,0,1,0,0,1,0,0,1,0,13,12,0,0,0,0,28,5,
